
Frequency,Formatted Data
1.000000e+09,-2.534817e+00
1.011000e+09,-2.875214e+00
1.022000e+09,-3.178837e+00
1.033000e+09,-3.363337e+00
1.044000e+09,-3.399499e+00
1.055000e+09,-3.160454e+00
1.066000e+09,-2.801285e+00
1.077000e+09,-2.541574e+00
1.088000e+09,-2.485893e+00
1.099000e+09,-2.667568e+00
1.110000e+09,-2.901936e+00
1.121000e+09,-3.080479e+00
1.132000e+09,-3.212319e+00
1.143000e+09,-3.187776e+00
1.154000e+09,-3.010810e+00
1.165000e+09,-2.730072e+00
1.176000e+09,-2.674936e+00
1.187000e+09,-2.719119e+00
1.198000e+09,-2.884573e+00
1.209000e+09,-2.999375e+00
1.220000e+09,-2.998935e+00
1.231000e+09,-2.961864e+00
1.242000e+09,-2.817017e+00
1.253000e+09,-2.664662e+00
1.264000e+09,-2.626249e+00
1.275000e+09,-2.727817e+00
1.286000e+09,-2.839172e+00
1.297000e+09,-2.876776e+00
1.308000e+09,-2.898252e+00
1.319000e+09,-2.882672e+00
1.330000e+09,-2.862088e+00
1.341000e+09,-2.733498e+00
1.352000e+09,-2.605445e+00
1.363000e+09,-2.624287e+00
1.374000e+09,-2.698136e+00
1.385000e+09,-2.806556e+00
1.396000e+09,-2.909926e+00
1.407000e+09,-3.001466e+00
1.418000e+09,-3.126292e+00
1.429000e+09,-3.095576e+00
1.440000e+09,-2.887732e+00
1.451000e+09,-2.664817e+00
1.462000e+09,-2.570199e+00
1.473000e+09,-2.519037e+00
1.484000e+09,-2.585879e+00
1.495000e+09,-2.652445e+00
1.506000e+09,-2.872816e+00
1.517000e+09,-3.047682e+00
1.528000e+09,-3.072397e+00
1.539000e+09,-2.979489e+00
1.550000e+09,-2.718607e+00
1.561000e+09,-2.531369e+00
1.572000e+09,-2.429567e+00
1.583000e+09,-2.451478e+00
1.594000e+09,-2.643775e+00
1.605000e+09,-3.008770e+00
1.616000e+09,-3.295587e+00
1.627000e+09,-3.302415e+00
1.638000e+09,-3.141358e+00
1.649000e+09,-2.834795e+00
1.660000e+09,-2.581896e+00
1.671000e+09,-2.475651e+00
1.682000e+09,-2.506101e+00
1.693000e+09,-2.606765e+00
1.704000e+09,-2.816035e+00
1.715000e+09,-2.976273e+00
1.726000e+09,-3.012844e+00
1.737000e+09,-2.961806e+00
1.748000e+09,-2.862304e+00
1.759000e+09,-2.751254e+00
1.770000e+09,-2.717016e+00
1.781000e+09,-2.715949e+00
1.792000e+09,-2.664217e+00
